1,Чайный столик и три стула,chajnyj-stolik-i-tri-stula,Комплект из трёх стульев и дизайнерский столик для гостинной комнаты.,goods_images/set_of_tea_table_and_three_chairs.jpg,150.00,25.00,10,6
2,Чайный столик и два стула,chajnyj-stolik-i-dva-stula,Набор из стола и двух стульев в минималистическом стиле.,goods_images/set_of_tea_table_and_two_chairs.jpg,93.00,20.00,15,6
3,Двухспальная кровать,dvuhspalnaya-krovat,Кровать двухспальная с надголовником и вообще очень ортопедичная.,goods_images/double_bed_2RUkVgh.jpg,670.00,15.00,23,11
4,Кухонный стол с раковиной,kuhonnyj-stol-s-rakovinoj,Кухонный стол для обеда с встроенной раковиной и стульями.,goods_images/kitchen_table.jpg,370.00,7.00,20,6
5,Кухонный стол с встройкой,kuhonnyj-stol-s-vstrojkoj,Кухонный стол со встроенной плитой и раковиной. Много полок и вообще красивый.,goods_images/kitchen_table_2.jpg,430.00,12.00,30,6
6,Угловой диван для гостинной,uglovoj-divan-dlya-gostinnoj,"Угловой диван, раскладывается в двухспальную кровать, для гостинной и приема гостей самое то!",goods_images/corner_sofa.jpg,610.00,15.00,13,10
7,Прикроватный столик,prikrovatnyj-stolik,Прикроватный столик с двумя выдвижными ящиками (цветок не входит в комплект).,goods_images/bedside_table.jpg,55.00,5.00,13,10
8,Диван обыкновенный,divan-obyknovennyj,"Диван, он же софа обыкновенная, ничего примечательного для описания.",goods_images/sofa.jpg,190.00,15.00,8,9
9,Стул офисный,stul-ofisnyj,"Описание товара, про то какой он классный, но это стул, что тут сказать...",goods_images/office_chair.jpg,30.00,12.00,18,9
10,Растение,rastenie,Растение для украшения вашего интерьера подарит свежесть и безмятежность обстановке.,goods_images/plants_G10wBbg.jpg,10.00,8.00,18,7
11,Цветок стилизированный,cvetok-stilizirovannyj,Дизайнерский цветок (возможно искусственный) для украшения интерьера.,goods_images/flower.jpg,15.00,10.00,14,7
